temp,current_dist,new_dist,best_dist
73.9191,870.695,870.695,704.194
73.7712,877.367,877.367,704.194
73.6237,879.888,879.888,704.194
73.4764,919.572,919.572,704.194
73.3295,860.001,860.001,704.194
73.1828,860.001,921.484,704.194
73.0365,860.001,924.912,704.194
72.8904,860.862,860.862,704.194
72.7446,880.574,880.574,704.194
72.5991,937.296,937.296,704.194
72.4539,911.861,911.861,704.194
72.309,965.419,965.419,704.194
72.1644,908.618,908.618,704.194
72.0201,908.618,991.858,704.194
71.876,869.994,869.994,704.194
71.7323,869.994,886.064,704.194
71.5888,869.994,939.906,704.194
71.4456,939.906,939.906,704.194
71.3027,927.328,927.328,704.194
71.1601,927.328,939.906,704.194
71.0178,943.398,943.398,704.194
70.8758,877.521,877.521,704.194
70.734,953.858,953.858,704.194
70.5925,990.583,990.583,704.194
70.4514,990.583,1005.22,704.194
70.3105,967.968,967.968,704.194
70.1698,969.067,969.067,704.194
70.0295,907.002,907.002,704.194
69.8894,906.652,906.652,704.194
69.7497,907.002,907.002,704.194
69.6102,907.002,942.517,704.194
69.4709,847.535,847.535,704.194
69.332,877.548,877.548,704.194
69.1933,895.076,895.076,704.194
69.055,896.11,896.11,704.194
68.9168,882.91,882.91,704.194
68.779,888.37,888.37,704.194
68.6414,925.773,925.773,704.194
68.5042,925.773,939.188,704.194
68.3672,954.37,954.37,704.194
68.2304,920.463,920.463,704.194
68.094,954.37,954.37,704.194
67.9578,894.626,894.626,704.194
67.8219,899.535,899.535,704.194
67.6862,930.2,930.2,704.194
67.5508,1004.64,1004.64,704.194
67.4157,1000.63,1000.63,704.194
67.2809,986.846,986.846,704.194
67.1463,938.026,938.026,704.194
67.0121,918.816,918.816,704.194
66.878,918.816,1001.45,704.194
66.7443,838.587,838.587,704.194
66.6108,838.587,864.796,704.194
66.4776,862.827,862.827,704.194
66.3446,881.32,881.32,704.194
66.2119,906.068,906.068,704.194
66.0795,910.974,910.974,704.194
65.9473,965.059,965.059,704.194
65.8154,970.725,970.725,704.194
65.6838,885.271,885.271,704.194
65.5524,870.108,870.108,704.194
65.4213,875.315,875.315,704.194
65.2905,818.567,818.567,704.194
65.1599,809.395,809.395,704.194
65.0296,829.951,829.951,704.194
64.8995,896.6,896.6,704.194
64.7697,885.225,885.225,704.194
64.6402,842.122,842.122,704.194
64.5109,875.059,875.059,704.194
64.3819,923.855,923.855,704.194
64.2531,910.25,910.25,704.194
64.1246,917.401,917.401,704.194
63.9964,908.755,908.755,704.194
63.8684,908.755,926.63,704.194
63.7406,908.755,924.665,704.194
63.6132,924.665,924.665,704.194
63.4859,949.641,949.641,704.194
63.359,930.895,930.895,704.194
63.2323,935.547,935.547,704.194
63.1058,941.817,941.817,704.194
62.9796,901.302,901.302,704.194
62.8536,892.369,892.369,704.194
62.7279,879.363,879.363,704.194
62.6025,917.101,917.101,704.194
62.4772,917.101,937.088,704.194
62.3523,931.975,931.975,704.194
62.2276,892.374,892.374,704.194
62.1031,909.069,909.069,704.194
61.9789,835.762,835.762,704.194
61.855,914.862,914.862,704.194
61.7313,910.42,910.42,704.194
61.6078,912.845,912.845,704.194
61.4846,920.632,920.632,704.194
61.3616,970.08,970.08,704.194
61.2389,953.17,953.17,704.194
61.1164,958.626,958.626,704.194
60.9942,965.09,965.09,704.194
60.8722,969.57,969.57,704.194
60.7504,984.265,984.265,704.194
60.6289,969.676,969.676,704.194
60.5077,947.443,947.443,704.194
60.3867,934.817,934.817,704.194
60.2659,873.927,873.927,704.194
60.1454,892.087,892.087,704.194
60.0251,892.087,960.278,704.194
59.905,873.927,873.927,704.194
59.7852,872.68,872.68,704.194
59.6656,872.68,885.59,704.194
59.5463,817.079,817.079,704.194
59.4272,817.079,884.837,704.194
59.3084,811.745,811.745,704.194
59.1897,850.639,850.639,704.194
59.0714,922.668,922.668,704.194
58.9532,922.668,939.174,704.194
58.8353,944.174,944.174,704.194
58.7176,859.467,859.467,704.194
58.6002,852.201,852.201,704.194
58.483,859.421,859.421,704.194
58.366,859.421,901.078,704.194
58.2493,859.421,941.073,704.194
58.1328,798.34,798.34,704.194
58.0166,798.34,880.05,704.194
57.9005,897.61,897.61,704.194
57.7847,877.898,877.898,704.194
57.6691,854.468,854.468,704.194
