,temp,current_dist,new_dist,best_dist,,Diff,t_0,c_r,n,t_f
160,120.1,1278.55,1278.55,1199.34,0,,,,,
161,118.899,1253.97,1253.97,1199.34,0,,,,,
162,117.71,1336.3,1336.3,1199.34,0,,,,,
163,116.533,1342.79,1342.79,1199.34,0,,,,,
164,115.367,1342.79,1390,1199.34,DIFF,,,,,
165,114.214,1329.7,1329.7,1199.34,0,,,,,
166,113.072,1333.46,1333.46,1199.34,0,,,,,
167,111.941,1376.89,1376.89,1199.34,0,,,,,
168,110.822,1272.03,1272.03,1199.34,0,,,,,
169,109.713,1276.71,1276.71,1199.34,0,,,,,
170,108.616,1276.71,1314.81,1199.34,DIFF,,,,,
171,107.53,1273.83,1273.83,1199.34,0,,,,,
172,106.455,1339.67,1339.67,1199.34,0,,,,,
173,105.39,1277.28,1277.28,1199.34,0,,,,,
174,104.336,1273.51,1273.51,1199.34,0,,,,,
175,103.293,1279.67,1279.67,1199.34,0,,,,,
176,102.26,1279.67,1298.34,1199.34,DIFF,,,,,
177,101.237,1319.49,1319.49,1199.34,0,,,,,
178,100.225,1359.33,1359.33,1199.34,0,,,,,
179,99.2228,1359.33,1390.82,1199.34,DIFF,,,,,
180,98.2305,1332.99,1332.99,1199.34,0,,,,,
181,97.2482,1332.18,1332.18,1199.34,0,,,,,
182,96.2758,1362.73,1362.73,1199.34,0,,,,,
183,95.313,1355.77,1355.77,1199.34,0,,,,,
184,94.3599,1312.74,1312.74,1199.34,0,,,,,
185,93.4163,1285.5,1285.5,1199.34,0,,,,,
186,92.4821,1297.76,1297.76,1199.34,0,,,,,
187,91.5573,1282.19,1282.19,1199.34,0,,,,,
188,90.6417,1282.19,1344.33,1199.34,DIFF,,,,,
189,89.7353,1344.33,1344.33,1199.34,0,,,,,
190,88.8379,1322.59,1322.59,1199.34,0,,,,,
191,87.9496,1324.17,1324.17,1199.34,0,,,,,
192,87.0701,1310.68,1310.68,1199.34,0,,,,,
193,86.1994,1322.47,1322.47,1199.34,0,,,,,
194,85.3374,1292.98,1292.98,1199.34,0,,,,,
195,84.484,1286.98,1286.98,1199.34,0,,,,,
196,83.6392,1293.4,1293.4,1199.34,0,,,,,
197,82.8028,1343.44,1343.44,1199.34,0,,,,,
198,81.9747,1315.42,1315.42,1199.34,0,,,,,
199,81.155,1315.42,1326.49,1199.34,DIFF,,,,,
200,80.3434,1315.42,1353.98,1199.34,DIFF,,,,,
201,79.54,1375.81,1375.81,1199.34,0,,,,,
202,78.7446,1357.57,1357.57,1199.34,0,,,,,
203,77.9572,1297.18,1297.18,1199.34,0,,,,,
204,77.1776,1297.18,1314.28,1199.34,DIFF,,,,,
205,76.4058,1245.97,1245.97,1199.34,0,,,,,
206,75.6418,1251.49,1251.49,1199.34,0,,,,,
207,74.8853,1251.49,1344.12,1199.34,DIFF,,,,,
208,74.1365,1258.95,1258.95,1199.34,0,,,,,
209,73.3951,1265.14,1265.14,1199.34,0,,,,,
210,72.6612,1264.93,1264.93,1199.34,0,,,,,
211,71.9346,1263.76,1263.76,1199.34,0,,,,,
212,71.2152,1266.09,1266.09,1199.34,0,,,,,
213,70.5031,1270.18,1270.18,1199.34,0,,,,,
214,69.798,1279.11,1279.11,1199.34,0,,,,,
215,69.1001,1266.64,1266.64,1199.34,0,,,,,
216,68.4091,1275.22,1275.22,1199.34,0,,,,,
217,67.725,1266.62,1266.62,1199.34,0,,,,,
218,67.0477,1270.06,1270.06,1199.34,0,,,,,
219,66.3772,1258.42,1258.42,1199.34,0,,,,,
220,65.7135,1258.42,1290.92,1199.34,DIFF,,,,,
221,65.0563,1263.5,1263.5,1199.34,0,,,,,
222,64.4058,1314.33,1314.33,1199.34,0,,,,,
223,63.7617,1322.42,1322.42,1199.34,0,,,,,
224,63.1241,1294.53,1294.53,1199.34,0,,,,,
225,62.4928,1316.21,1316.21,1199.34,0,,,,,
226,61.8679,1316.21,1378.85,1199.34,DIFF,,,,,
227,61.2492,1294.31,1294.31,1199.34,0,,,,,
228,60.6367,1294.31,1317.15,1199.34,DIFF,,,,,
229,60.0304,1310.14,1310.14,1199.34,0,,,,,
230,59.4301,1310.14,1319.45,1199.34,DIFF,,,,,
231,58.8358,1307.78,1307.78,1199.34,0,,,,,
232,58.2474,1299.63,1299.63,1199.34,0,,,,,
233,57.6649,1300.26,1300.26,1199.34,0,,,,,
234,57.0883,1300.26,1347.95,1199.34,DIFF,,,,,
235,56.5174,1286.58,1286.58,1199.34,0,,,,,
236,55.9522,1285.7,1285.7,1199.34,0,,,,,
237,55.3927,1280.92,1280.92,1199.34,0,,,,,
238,54.8388,1312.03,1312.03,1199.34,0,,,,,
239,54.2904,1315.44,1315.44,1199.34,0,,,,,
240,53.7475,1301.62,1301.62,1199.34,0,,,,,
241,53.21,1301.62,1344.61,1199.34,DIFF,,,,,
242,52.6779,1285.33,1285.33,1199.34,0,,,,,
243,52.1511,1278.63,1278.63,1199.34,0,,,,,
244,51.6296,1246.2,1246.2,1199.34,0,,,,,
245,51.1133,1246.2,1291.42,1199.34,DIFF,,,,,
246,50.6022,1246.2,1283.16,1199.34,DIFF,,,,,
247,50.0962,1244.8,1244.8,1199.34,0,,,,,
248,49.5952,1299.11,1299.11,1199.34,0,,,,,
249,49.0993,1299.11,1313.34,1199.34,DIFF,,,,,
250,48.6083,1278.02,1278.02,1199.34,0,,,,,
251,48.1222,1265.4,1265.4,1199.34,0,,,,,
252,47.641,1335.23,1335.23,1199.34,0,,,,,
253,47.1646,1357.81,1357.81,1199.34,0,,,,,
254,46.6929,1366.26,1366.26,1199.34,0,,,,,
255,46.226,1348.85,1348.85,1199.34,0,,,,,
256,45.7637,1331.25,1331.25,1199.34,0,,,,,
257,45.3061,1306.66,1306.66,1199.34,0,,,,,
258,44.853,1347.81,1347.81,1199.34,0,,,,,
259,44.4045,1338.33,1338.33,1199.34,0,,,,,
260,43.9604,1347.81,1347.81,1199.34,0,,,,,
261,43.5208,1336.87,1336.87,1199.34,0,,,,,
262,43.0856,1324.97,1324.97,1199.34,0,,,,,
263,42.6548,1324.97,1338.83,1199.34,DIFF,,,,,
264,42.2282,1302.55,1302.55,1199.34,0,,,,,
265,41.806,1331.81,1331.81,1199.34,0,,,,,
266,41.3879,1336.96,1336.96,1199.34,0,,,,,
267,40.974,1360.87,1360.87,1199.34,0,,,,,
268,40.5643,1348.55,1348.55,1199.34,0,,,,,
269,40.1586,1347.58,1347.58,1199.34,0,,,,,
270,39.757,1276.53,1276.53,1199.34,0,,,,,
271,39.3595,1273.15,1273.15,1199.34,0,,,,,
272,38.9659,1266.07,1266.07,1199.34,0,,,,,
273,38.5762,1272.91,1272.91,1199.34,0,,,,,
274,38.1905,1262.2,1262.2,1199.34,0,,,,,
275,37.8086,1260.46,1260.46,1199.34,0,,,,,
276,37.4305,1292.87,1292.87,1199.34,0,,,,,
277,37.0562,1295.78,1295.78,1199.34,0,,,,,
278,36.6856,1290.97,1290.97,1199.34,0,,,,,
279,36.3187,1290.97,1338.24,1199.34,DIFF,,,,,
280,35.9556,1290.97,1313.22,1199.34,DIFF,,,,,
281,35.596,1286.41,1286.41,1199.34,0,,,,,
282,35.24,1286.41,1308.66,1199.34,DIFF,,,,,
283,34.8876,1290.13,1290.13,1199.34,0,,,,,
284,34.5388,1283.45,1283.45,1199.34,0,,,,,
285,34.1934,1304.98,1304.98,1199.34,0,,,,,
286,33.8514,1294,1294,1199.34,0,,,,,
287,33.5129,1293.83,1293.83,1199.34,0,,,,,
288,33.1778,1293.83,1301.95,1199.34,DIFF,,,,,
289,32.846,1295.84,1295.84,1199.34,0,,,,,
290,32.5176,1307.27,1307.27,1199.34,0,,,,,
291,32.1924,1307.27,1386.74,1199.34,DIFF,,,,,
292,31.8705,1315.6,1315.6,1199.34,0,,,,,
293,31.5518,1328.93,1328.93,1199.34,0,,,,,
294,31.2362,1316.77,1316.77,1199.34,0,,,,,
295,30.9239,1316.77,1410.48,1199.34,DIFF,,,,,
296,30.6146,1307.28,1307.28,1199.34,0,,,,,
297,30.3085,1309.26,1309.26,1199.34,0,,,,,
298,30.0054,1299.99,1299.99,1199.34,0,,,,,
299,29.7054,1299.99,1322.92,1199.34,DIFF,,,,,
300,29.4083,1309.26,1309.26,1199.34,0,,,,,
301,29.1142,1309.26,1330.92,1199.34,DIFF,,,,,
302,28.8231,1309.26,1342.99,1199.34,DIFF,,,,,
303,28.5348,1309.26,1325.05,1199.34,DIFF,,,,,
304,28.2495,1333.19,1333.19,1199.34,0,,,,,
305,27.967,1318.37,1318.37,1199.34,0,,,,,
306,27.6873,1318.37,1344.27,1199.34,DIFF,,,,,
307,27.4105,1310.14,1310.14,1199.34,0,,,,,
308,27.1364,1322.97,1322.97,1199.34,0,,,,,
309,26.865,1318.92,1318.92,1199.34,0,,,,,
310,26.5963,1305.8,1305.8,1199.34,0,,,,,
311,26.3304,1305.5,1305.5,1199.34,0,,,,,
312,26.0671,1288.01,1288.01,1199.34,0,,,,,
313,25.8064,1289.85,1289.85,1199.34,0,,,,,
314,25.5483,1289.85,1308.63,1199.34,DIFF,,,,,
315,25.2929,1287.97,1287.97,1199.34,0,,,,,
316,25.0399,1287.97,1335.95,1199.34,DIFF,,,,,
317,24.7895,1280.9,1280.9,1199.34,0,,,,,
318,24.5416,1280.9,1305.93,1199.34,DIFF,,,,,
319,24.2962,1251.9,1251.9,1199.34,0,,,,,
320,24.0533,1251.9,1318.05,1199.34,DIFF,,,,,
321,23.8127,1251.9,1254.91,1199.34,DIFF,,,,,
322,23.5746,1244.28,1244.28,1199.34,0,,,,,
323,23.3388,1248.22,1248.22,1199.34,0,,,,,
324,23.1055,1250.1,1250.1,1199.34,0,,,,,
325,22.8744,1243.07,1243.07,1199.34,0,,,,,
326,22.6457,1230.99,1230.99,1199.34,0,,,,,
327,22.4192,1229.63,1229.63,1199.34,0,,,,,
328,22.195,1229.63,1301.33,1199.34,DIFF,,,,,
329,21.9731,1229.63,1251.49,1199.34,DIFF,,,,,
330,21.7533,1229.63,1252.16,1199.34,DIFF,,,,,
331,21.5358,1229.63,1305.97,1199.34,DIFF,,,,,
332,21.3204,1244.42,1244.42,1199.34,0,,,,,
333,21.1072,1247.22,1247.22,1199.34,0,,,,,
334,20.8962,1229.65,1229.65,1199.34,0,,,,,
335,20.6872,1229.65,1271.33,1199.34,DIFF,,,,,
336,20.4803,1229.65,1251.17,1199.34,DIFF,,,,,
337,20.2755,1221.33,1221.33,1199.34,0,,,,,
338,20.0728,1221.88,1221.88,1199.34,0,,,,,
339,19.872,1228.76,1228.76,1199.34,0,,,,,
340,19.6733,1228.76,1321.32,1199.34,DIFF,,,,,
341,19.4766,1218.05,1218.05,1199.34,0,,,,,
342,19.2818,1218.05,1269.9,1199.34,DIFF,,,,,
343,19.089,1210.34,1210.34,1199.34,0,,,,,
344,18.8981,1224.28,1224.28,1199.34,0,,,,,
345,18.7091,1227.27,1227.27,1199.34,0,,,,,
346,18.522,1223.15,1223.15,1199.34,0,,,,,
347,18.3368,1223.15,1237.48,1199.34,DIFF,,,,,
348,18.1535,1223.15,1245.14,1199.34,DIFF,,,,,
349,17.9719,1205.74,1205.74,1199.34,0,,,,,
350,17.7922,1190.08,1190.08,1190.08,0,,,,,
351,17.6143,1190.08,1206.78,1190.08,DIFF,,,,,
352,17.4381,1190.08,1254.63,1190.08,DIFF,,,,,
353,17.2638,1190.08,1239.95,1190.08,DIFF,,,,,
354,17.0911,1206.78,1206.78,1190.08,0,,,,,
355,16.9202,1206.78,1224.33,1190.08,DIFF,,,,,
356,16.751,1251.26,1251.26,1190.08,0,,,,,
357,16.5835,1251.26,1277.95,1190.08,DIFF,,,,,
358,16.4177,1296.56,1296.56,1190.08,0,,,,,
359,16.2535,1296.56,1328.16,1190.08,DIFF,,,,,
360,16.0909,1294.62,1294.62,1190.08,0,,,,,
361,15.93,1268.8,1268.8,1190.08,0,,,,,
362,15.7707,1255.53,1255.53,1190.08,0,,,,,
363,15.613,1251.43,1251.43,1190.08,0,,,,,
364,15.4569,1251.43,1268.28,1190.08,DIFF,,,,,
365,15.3023,1253.67,1253.67,1190.08,0,,,,,
366,15.1493,1274.85,1274.85,1190.08,0,,,,,
367,14.9978,1283.97,1283.97,1190.08,0,,,,,
368,14.8478,1283.97,1355.49,1190.08,DIFF,,,,,
369,14.6994,1299.67,1299.67,1190.08,0,,,,,
370,14.5524,1299.67,1305.59,1190.08,DIFF,,,,,
371,14.4068,1299.67,1312.98,1190.08,DIFF,,,,,
372,14.2628,1261.56,1261.56,1190.08,0,,,,,
373,14.1201,1288.03,1288.03,1190.08,0,,,,,
374,13.9789,1230.07,1230.07,1190.08,0,,,,,
375,13.8392,1197.57,1197.57,1190.08,0,,,,,
376,13.7008,1197.57,1232.04,1190.08,DIFF,,,,,
377,13.5638,1197.57,1261.8,1190.08,DIFF,,,,,
378,13.4281,1197.57,1276.3,1190.08,DIFF,,,,,
379,13.2938,1212.01,1212.01,1190.08,0,,,,,
380,13.1609,1212.01,1238.64,1190.08,DIFF,,,,,
381,13.0293,1216.92,1216.92,1190.08,0,,,,,
382,12.899,1216.92,1264.87,1190.08,DIFF,,,,,
383,12.77,1216.92,1292.57,1190.08,DIFF,,,,,
384,12.6423,1206.4,1206.4,1190.08,0,,,,,
385,12.5159,1206.4,1218.86,1190.08,DIFF,,,,,
386,12.3907,1206.4,1261.34,1190.08,DIFF,,,,,
387,12.2668,1221.55,1221.55,1190.08,0,,,,,
388,12.1441,1221.55,1283.43,1190.08,DIFF,,,,,
389,12.0227,1197.05,1197.05,1190.08,0,,,,,
390,11.9025,1205.88,1205.88,1190.08,0,,,,,
391,11.7835,1201.5,1201.5,1190.08,0,,,,,
392,11.6656,1219.25,1219.25,1190.08,0,,,,,
393,11.549,1208.27,1208.27,1190.08,0,,,,,
394,11.4335,1224.96,1224.96,1190.08,0,,,,,
395,11.3191,1224.96,1298.23,1190.08,DIFF,,,,,
396,11.2059,1220.47,1220.47,1190.08,0,,,,,
397,11.0939,1220.47,1269.95,1190.08,DIFF,,,,,
398,10.9829,1229.74,1229.74,1190.08,0,,,,,
399,10.8731,1229.74,1295.56,1190.08,DIFF,,,,,
400,10.7644,1229.74,1304.76,1190.08,DIFF,,,,,
401,10.6567,1213.01,1213.01,1190.08,0,,,,,
402,10.5502,1201.67,1201.67,1190.08,0,,,,,
403,10.4447,1201.67,1258.64,1190.08,DIFF,,,,,
404,10.3402,1201.67,1209.38,1190.08,DIFF,,,,,
405,10.2368,1181.56,1181.56,1181.56,0,,,,,
406,10.1345,1137.55,1137.55,1137.55,0,,,,,
407,10.0331,1137.55,1221.21,1137.55,DIFF,,,,,
408,9.93278,1136.92,1136.92,1136.92,0,,,,,
409,9.83345,1136.92,1193.89,1136.92,DIFF,,,,,
410,9.73512,1136.92,1178.76,1136.92,DIFF,,,,,
411,9.63777,1136.92,1197.66,1136.92,DIFF,,,,,
412,9.54139,1136.92,1180.22,1136.92,DIFF,,,,,
413,9.44598,1136.92,1158.83,1136.92,DIFF,,,,,
414,9.35152,1136.92,1159.11,1136.92,DIFF,,,,,
415,9.258,1136.92,1249.65,1136.92,DIFF,,,,,
416,9.16542,1136.92,1150.24,1136.92,DIFF,,,,,
417,9.07377,1136.92,1245.9,1136.92,DIFF,,,,,
418,8.98303,1136.92,1216.27,1136.92,DIFF,,,,,
419,8.8932,1136.92,1148.26,1136.92,DIFF,,,,,
420,8.80427,1136.92,1213.4,1136.92,DIFF,,,,,
421,8.71623,1136.92,1229.21,1136.92,DIFF,,,,,
422,8.62906,1136.92,1159.38,1136.92,DIFF,,,,,
423,8.54277,1136.92,1178.56,1136.92,DIFF,,,,,
424,8.45734,1170.93,1170.93,1136.92,0,,,,,
425,8.37277,1182.46,1182.46,1136.92,0,,,,,
426,8.28904,1182.46,1311.15,1136.92,DIFF,,,,,
427,8.20615,1182.46,1247.75,1136.92,DIFF,,,,,
428,8.12409,1182.46,1227.01,1136.92,DIFF,,,,,
429,8.04285,1182.46,1276.52,1136.92,DIFF,,,,,
430,7.96242,1182.46,1241.53,1136.92,DIFF,,,,,
431,7.8828,1182.46,1202.5,1136.92,DIFF,,,,,
432,7.80397,1182.46,1190.17,1136.92,DIFF,,,,,
433,7.72593,1182.46,1200.89,1136.92,DIFF,,,,,
434,7.64867,1182.46,1228.63,1136.92,DIFF,,,,,
435,7.57218,1182.46,1190.18,1136.92,DIFF,,,,,
436,7.49646,1182.46,1226.48,1136.92,DIFF,,,,,
437,7.4215,1178.04,1178.04,1136.92,0,,,,,
438,7.34728,1178.04,1197.22,1136.92,DIFF,,,,,
439,7.27381,1178.04,1230.42,1136.92,DIFF,,,,,
440,7.20107,1178.04,1191.95,1136.92,DIFF,,,,,
441,7.12906,1178.04,1192.49,1136.92,DIFF,,,,,
442,7.05777,1178.04,1218.51,1136.92,DIFF,,,,,
443,6.98719,1178.04,1238.28,1136.92,DIFF,,,,,
444,6.91732,1178.04,1218.74,1136.92,DIFF,,,,,
445,6.84815,1178.04,1257.37,1136.92,DIFF,,,,,
446,6.77967,1166.5,1166.5,1136.92,0,,,,,
447,6.71187,1166.5,1173.29,1136.92,DIFF,,,,,
448,6.64475,1166.5,1183.67,1136.92,DIFF,,,,,
449,6.5783,1166.5,1189.67,1136.92,DIFF,,,,,
450,6.51252,1166.5,1208.31,1136.92,DIFF,,,,,
451,6.4474,1166.5,1173.21,1136.92,DIFF,,,,,
452,6.38292,1166.5,1212.78,1136.92,DIFF,,,,,
453,6.31909,1166.5,1175.07,1136.92,DIFF,,,,,
454,6.2559,1166.5,1175.07,1136.92,DIFF,,,,,
455,6.19334,1166.5,1251.4,1136.92,DIFF,,,,,
456,6.13141,1179.83,1179.83,1136.92,0,,,,,
457,6.07009,1179.83,1258.47,1136.92,DIFF,,,,,
458,6.00939,1166.5,1166.5,1136.92,0,,,,,
459,5.9493,1169.42,1169.42,1136.92,0,,,,,
460,5.88981,1169.42,1180.5,1136.92,DIFF,,,,,
461,5.83091,1169.42,1267.99,1136.92,DIFF,,,,,
462,5.7726,1166.12,1166.12,1136.92,0,,,,,
463,5.71487,1166.12,1192.23,1136.92,DIFF,,,,,
464,5.65772,1166.12,1210.28,1136.92,DIFF,,,,,
465,5.60115,1166.12,1194.23,1136.92,DIFF,,,,,
466,5.54514,1166.12,1295.55,1136.92,DIFF,,,,,
467,5.48968,1166.12,1202.24,1136.92,DIFF,,,,,
468,5.43479,1166.9,1166.9,1136.92,0,,,,,
469,5.38044,1166.9,1180,1136.92,DIFF,,,,,
